vine,scion,rootstock,row,block,slice,ring,width_cm
Cab_K51-32_27_2,Cab,K51-32,27,2,Slice 186,4,0.278509141
Cab_775 Paulsen_19_4,Cab,775 Paulsen,19,4,Slice 817,4,0.326811606
Chard_775 Paulsen_2_3,Chard,775 Paulsen,2,3,Slice 820,4,0.366741839
Cab_SO4_25_3,Cab,SO4,25,3,Slice 724,4,0.32573588
Cab_K51-32_24_3,Cab,K51-32,24,3,Slice 708,4,0.33404016
Cab_SO4_23_4,Cab,SO4,23,4,Slice 219,4,0.312557881
Cab_039-16_20_3,Cab,039-16,20,3,Slice 735,4,0.320717728
Cab_110 Richter_16_3,Cab,110 Richter,16,3,Slice 847,4,0.276957323
Chard_775 Paulsen_2_3,Chard,775 Paulsen,2,3,Slice 217,4,0.333292892
Cab_Freedom_16_4,Cab,Freedom,16,4,Slice 1577,4,0.213590723
Chard_Ramsey_7_2,Chard,Ramsey,7,2,Slice 849,4,0.206610382
Cab_Teleki 5C_20_4,Cab,Teleki 5C,20,4,Slice 465,4,0.225678489
Chard_3309 Couderc_15_3,Chard,3309 Couderc,15,3,Slice 371,4,0.195836009
Cab_110 Richter_21_1,Cab,110 Richter,21,1,Slices 148,4,0.244031672
Cab_775 Paulsen_19_4,Cab,775 Paulsen,19,4,Slice 290,4,0.318265653
Chard_101-14 MGT_3_3,Chard,101-14 MGT,3,3,Slice 1357,4,0.210248616
Cab_110 Richter_25_4,Cab,110 Richter,25,4,Slice 248,4,0.301209637
Cab_1103 Paulsen_19_2,Cab,1103 Paulsen,19,2,Slice 323,4,0.243158234
Chard_775 Paulsen_7_4,Chard,775 Paulsen,7,4,Slice 774,4,0.219564744
Chard_Ramsey_4_1,Chard,Ramsey,4,1,Slice 305,4,0.223886252
Chard_1103 Paulsen_5_2,Chard,1103 Paulsen,5,2,Slice 721,4,0.250605147
Cab_039-16_20_3,Cab,039-16,20,3,Slice 1223,4,0.329285052
Chard_Schwarzmann_11_3,Chard,Schwarzmann,11,3,Slice 427,4,0.131561376
Chard_140 Ruggeri_9_1,Chard,140 Ruggeri,9,1,Slice 844,4,0.213926779
Chard_K51-32_9_4,Chard,K51-32,9,4,Slice 1408,4,0.223575902
Cab_K51-32_29_1,Cab,K51-32,29,1,Slice 1293,4,0.223126132
Chard_Ramsey_10_4,Chard,Ramsey,10,4,Slice 1368,4,0.187050328
Cab_Kober 5BB_25_3,Cab,Kober 5BB,25,3,Slice 341,4,0.185082818
Chard_SO4_2_2,Chard,SO4,2,2,Slice 1294,4,0.264731861
